QRID,country,weight,Q1,Q2,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q4h,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,q9_98,q9_99,Q10a,Q10b,Q10c,Q11,Q13,Q14a,Q14b,QCURRELrec,QCURRELDrec,qdenomautrec,QDENOMBEG,QDENOMDNK,qdenomfinrec,qdenomfrarec,qdenomdeurec,QDENOMIRL,qdenomitarec,qdenomnldrec,QDENOMNOR,qdenomprtrec,qdenomslorec,qdenomesprec,QDENOMSWE,qdenomcherec,qdenomgbrrec,Q15a,Q15b,Q16,Q17,Q19a,Q19b,Q19c,Q19d,Q19e,Q19f,Q20a,Q20b,Q20c,Q20d,Q20e,Q20f,Q20g,Q20h,QCHRELrec,qchdenomautrec,qchdenombegrec,QCHDENOMDNK,qchdenomfinrec,qchdenomfrarec,qchdenomdeurec,qchdenomirlrec,qchdenomitarec,qchdenomnldrec,QCHDENOMNOR,qchdenomprtrec,qchdenomslorec,qchdenomesprec,QCHDENOMSWE,qchdenomcherec,qchdenomgbrrec,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q22a,Q22b,Q22c,Q22d,Q22e,Q22f,Q23,Q24,Q25a,Q25b,Q26a,Q26b,Q26c,Q26d,Q27,Q29a,Q29b,Q30,Q31a,Q31b,Q31c,Q31d,Q31e,Q31f,Q32a,Q32b,Q33,Q34a,Q34b,Q34c,Q34d,Q34e,Q36a,Q36b,Q37a,Q37b,Q38a,Q38b,Q39a,Q39b,Q41,Q42a,Q42b,Q42c,Q42d,Q43,Q45a,Q45b,Q45c,Q46a,Q46b,Q46c,Q47,Q48a,Q48b,Q48c,Q49a,Q49b,Q49c,Q49d,Q49e,Q50,Q51,QPTYbAUTa,QPTYbAUTb,QPTYbAUTc,QPTYbAUTd,QPTYbBEGa,QPTYbBEGb,QPTYbBEGc,QPTYbBEGd,QPTYbBEGe,QPTYbBEGf,QPTYbDNKa,QPTYbDNKb,QPTYbDNKc,QPTYbFINa,QPTYbFINb,QPTYbFINc,QPTYbFINd,QPTYbFRAa,QPTYbFRAb,QPTYbFRAc,QPTYbFRAd,QPTYbFRAe,QPTYbDEUa,QPTYbDEUb,QPTYbDEUc,QPTYbDEUd,QPTYbDEUe,QPTYbIRLa,QPTYbIRLb,QPTYbIRLc,QPTYbIRLd,QPTYbITAa,QPTYbITAb,QPTYbITAc,QPTYbITAd,QPTYbITAe,QPTYbNLDa,QPTYbNLDb,QPTYbNLDc,QPTYbNLDd,QPTYbNORa,QPTYbNORb,QPTYbNORc,QPTYbPRTa,QPTYbPRTb,QPTYbPRTc,QPTYbSLOa,QPTYbSLOb,QPTYbSLOc,QPTYbSLOd,QPTYbESPa,QPTYbESPb,QPTYbESPc,QPTYbESPd,QPTYbSWEa,QPTYbSWEb,QPTYbSWEc,QPTYbCHEa,QPTYbCHEb,QPTYbCHEc,QPTYbCHEd,QPTYbGBRa,QPTYbGBRb,QPTYbGBRc,QPTYbGBRd,QGEN,QAGE,QMARRIED,QSPRELrec,QFERT,QHHCH,QCHILDarec,QEDUAUTrec,QEDUBEG,QEDUDNKrec,QEDUFIN,QEDUFRArec,QEDUDEUrec,QEDUIRLrec,QEDUITArec,QEDUNLDrec,QEDUNORrec,QEDUPRTrec,QEDUSLO,QEDUESPrec,QEDUSWErec,QEDUCHErec,QEDUGBRrec,Q52a,Q52b,QINCaAUT,QINCbAUT,QINCaBEG,QINCbBEG,QINCaDNK,QINCbDNK,QINCaFIN,QINCbFIN,QINCaFRA,QINCbFRA,QINCaDEU,QINCbDEU,QINCaIRL,QINCbIRL,QINCaITA,QINCbITA,QINCaNLD,QINCbNLD,QINCaNOR,QINCbNOR,QINCaPRT,QINCbPRT,QINCaSLO,QINCbSLO,QINCaESP,QINCbESP,QINCaSWE,QINCbSWE,QINCaCHE,QINCbCHE,QINCaGBR,QINCbGBR,QINCcGBR,QINCdGBR,QINCeGBR,QINCfGBR,QINCgGBR,QINCcAUT,QINCcBEG,QINCcDNK,QINCcFIN,QINCcFRA,QINCcDEU,QINCcIRL,QINCcITA,QINCcNLD,QINCcNOR,QINCcPRT,QINCcSLO,QINCcESP,QINCcSWE,QINCcCHE,QINChGBR,QINCiGBR,QINCjGBR,QINCkGBR,QIDEOLOGY,QIDEOLOGYa,QIDEOLOGYb,QPTYaAUT,QPTYaBEG,QPTYaDNK,QPTYaFIN,QPTYaFRA,QPTYaDEU,QPTYaIRL,QPTYaITA,QPTYaNLD,QPTYaNOR,QPTYaPRT,QPTYaSLO,QPTYaESP,QPTYaSWE,QPTYaCHE,QPTYaGBR,QPTYAUT,QPTYBEG,QPTYDNK,QPTYFIN,QPTYFRA,QPTYDEU,QPTYIRL,QPTYITA,QPTYNLD,QPTYNOR,QPTYPRT,QPTYSLO,QPTYESP,QPTYSWE,QPTYCHE,QPTYGBR,QCITIZEN1,QBORNrec,qbornmoverec,QBORNcrec,QBORNerec,QS11AUT,QS12AUT,QS11BEG,QS12BEG,QS12DNK,qs12finrec,QS11FRA,QS12FRA,QS11DEU,QS14DEU,QS13IRL,QS11ITA,QS12ITA,QS11NLD,QS12NLD,QS12NOR,QS11PRT,QS12PRT,QS12SLO,QS11ESP,QS12ESP,QS11SWE,QS12SWE,QS12CHE,QS11GBR,ISCED
1006015,1,0.31257970273750457,1,2,2,2,2,1,2,1,2,2,2,2,2,3, , , , , , , , , , ,1,1,2,1,1,4, ,1, ,2, , , , , , , , , , , , , , , ,4, ,2,1,2,2,1,2,2,1,2,2,3,3,3,3,4,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,1,2,1,2,2, ,98,2,2,98,5,2,2,1,1,98,1,2,2,2,5, ,2,1,2,1, ,1,1,1,1,1, , ,1,1,1,4,4,4,4,1,1,1,1,1,1,1,4,3,3,4,3,2,3,1,2,4,2,4,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,61,1,1,2, , ,9, , , , , , , , , , , , , , , ,1,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,4, , , , , , , , , , , , , , , ,4, , , , , , , , , , , , , , , ,1,1, ,1,1,3,7, , , , , , , , , , , , , , , , , , , , , , , ,5
1012247,1,2.1651647113865327,1,2,2,2,2,1,2,2,2,2,2,2,1,2, , , , , , , , , , ,3,2,3,3,2, ,1,92, , , , , , , , , , , , , , , , , ,6, ,3,1,2,2,2,2,2,2,3,3,2,2,3,4,98,2,1,2, , , , , , , , , , , , , , , ,1,2,2,2,2,1,1,3,1,1,1,3,1,98, , , , , , , , , , , ,2,2,2,2,2,2,7, ,3,2,2,1,1,1,1,1,3,1,1,1,1,1,2,4,3,3,4,2,1,98,98,1,98,98,4,2,3, ,2,1,4,1,1,4,1,4,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,30,1,92,2,1,92,4, , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,4, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , ,3
1012251,1,1.583167080749537,1,2,1,2,2,2,2,2,2,2,2,3,2,2, , , , , , , , , , ,3,3,4,2,1,4, ,91, , , , , , , , , , , , , , , , , ,6, ,3, ,1,2,2,2,2,2,3,4,4,3,4,4,3,4,92, , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,2,2, , ,2, , , , , , , , ,2,2,2,2,1,2,7, ,4,1, ,1,1,1, , ,1,1,1,1,1,1,2,4,4,3,3,2,1,2,2,2,1,1,4,2,1,3,2,2,4,3,2,3,3,4,4,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,42,1,1,2, , ,5, , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,2, , ,2, , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , ,1,1, ,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , ,3
1012271,1,0.7054687202890048,1,2,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,3,1,3,1,1,2, ,1, ,2, , , , , , , , , , , , , , , ,3, ,2,1,2,2,2,2,2,2,2,2,4,4,2,1,3,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,1,2,1,2,2, ,2,1,2,1,3,1,1,2,1,1,2,1,2,2,4, ,3,1,1,1, ,1,1,1,1,1, , ,1,1,2,4,4,4,4,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,4,4,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,27,1,1,4,1,1,11, , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,4, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,5
1012279,1,2.4202543553130105,1,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , ,3,3,3,2,1,4, ,1, ,2, , , , , , , , , , , , , , , ,5, ,3,1,2,1,2,2,1,2,2,4,3,3,2,3,3,4,1,2, , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,2,1,2,1, ,1,1,2,2,7,2,1,1,2,1,2,1,1,2,2, ,2,1,1,1, ,1,1,1,1,1, , ,1,1,3,4,4,3,4,98,1,1,1,1,1,1,6,1,1,2,2,1,3,2,2,4,1,3,3,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,47,1,1,1, , ,4, , , , , , , , , , , , , , , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,3
1012287,1,0.3421305673163353,1,2,2,2,2,2,2,2,2,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,3,1,3,1,1,2, ,1, ,2, , , , , , , , , , , , , , , ,3, ,2,1,2,2,2,2,2,2,2,2,4,4,3,2,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,2,2, ,2,1,1,2,6,98,98,1,2,2,2,2,2,2,3, ,3,1,1,1, ,1,1,1,1,1, , ,1,1,2,4,4,4,4,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,2,4,3,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,37,1,1,4,1,1,8, , , , , , , , , , , , , , , ,1,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,3
1012291,1,0.3936229015962325,1,2,2,2,2,2,2,2,2,1,2,2,98,98, , , , , , , , , , ,3,1,4,3,99, , ,1, ,2, , , , , , , , , , , , , , , ,4, ,3,2,2,2,2,2,2,2,3,3,4,3,4,3,4,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,3,3,98, , , , , , , , , , ,1,1,98,1,98,98,1,6, ,2,1,2,1, ,2,2,1,2,1, , ,2,1,2,4,3,4,4,2,2,2,1,1,98,1,4,1,1,1,3,1,3,1,3,98,1,99,99,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,32,3,1,0, , ,8, , , , , , , , , , , , , , , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,3
1012317,1,0.5176264845430144,1,2,1,2,1,1,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,2,1,4, ,1, ,2, , , , , , , , , , , , , , , ,4, ,2,1,2,2,2,2,1,1,3,3,2,2,3,1,3,4,1,2, , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,2,1,1,1, ,1,1,2,2,4,1,1,3,2,1,2,2,1,1,6, ,2,1,1,2, ,1,1,1,1,1, , ,1,1,1,4,4,3,4,2,1,1,1,1,1,1,6,4,3,4,2,1,2,1,3,4,1,4,4,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,55,1,1,1,1,1,10, , , , , , , , , , , , , , , ,1,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,5
1012336,1,1.4647908400751577,1,1,1,2,1,2,2,2,1,2,1,2,2,2, , , , , , , , , , ,2,1,2,2,1,4, ,1, ,2, , , , , , , , , , , , , , , ,4, ,2,1,2,2,2,1,1,1,1,2,3,3,1,1,4,4,1,2, , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,1,2,1,2,2, ,1,2,2,1,4,2,2,1,1,2,2,2,1,1,4, ,2,1,2,1, ,1,1,1,1,1, , ,1,1,1,4,4,4,4,2,1,1,1,1,1,1,4,2,2,2,3,1,3,1,2,4,1,3,4,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,67,1,1,2, , ,9, , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,5
1012339,1,2.0880030541034724,1,2,1,2,2,1,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,1,3,2,1,4, ,1, ,2, , , , , , , , , , , , , , , ,3, ,2,1,2,2,1,1,2,2,2,1,3,3,2,2,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,1,2,1,2,1,2,1,2,2, ,2,1,2,1,3,2,2,1,1,1,2,2,1,2,4, ,2,1,1,1, ,1,1,1,1,1, , ,1,1,2,4,4,4,4,2,1,1,1,1,1,1,4,2,2,2,3,1,3,1,3,4,1,4,4,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,43,1,1,1,1,1,4, , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , ,2, , ,1, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , ,1,1, ,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,3
